1	108161	483800
2	105646	506608
3	106669	541468
4	102431	502724
5	105906	526544
6	108601	509945
7	106435	515141
8	102163	520037
9	100812	528911
10	105771	532123
11	107671	457161
12	112801	541179
13	111027	543441
14	104004	511159
15	104403	518111
16	106158	534795
17	99501	530854
18	106518	486916
19	106280	507831
20	104830	541059
21	105069	513331
22	99579	574446
23	99860	521611
24	100951	571889
25	108456	577800
26	104490	535471
27	104200	572649
28	106852	521505
29	106412	517682
30	106975	509260
31	108335	497005
32	108327	451127
33	101780	527424
34	107775	518449
35	100348	530293
36	105999	497169
37	103037	498613
38	113239	552067
39	99791	537028
40	99338	491362
41	97669	548736
42	109022	498518
43	106060	486887
44	105056	500500
45	104739	541616
46	104404	488557
47	105702	506799
48	97716	515958
49	95959	519973
50	94685	484523
51	106661	506543
52	104914	535851
53	110634	531125
54	106769	458020
55	112004	522676
56	107082	540338
57	105793	498159
58	98220	522793
59	107806	503570
60	97392	535309
61	103414	470484
62	104307	517060
63	104801	520132
64	104977	549054
65	114873	495098
66	106361	514930
67	101250	470591
68	111157	507685
69	108571	513274
70	110676	568609
71	93303	501019
72	101826	530887
73	105623	533583
74	98605	537161
75	107671	522801
76	117726	559335
77	100716	567050
78	104977	519882
79	100683	539944
80	103922	539648
81	94241	517221
82	100261	503460
83	112325	521645
84	104549	467095
85	110577	610767
86	107913	518336
87	100506	494787
88	100671	524816
89	101704	532733
90	102563	491208
91	103063	523976
92	103291	513332
93	106745	491608
94	103332	564710
95	106276	504030
96	97869	544895
97	107581	500252
98	109727	501643
99	95738	519017
100	102381	568432
101	101621	520857
102	99241	510788
103	99609	494126
104	105548	588374
105	100081	553604
106	110181	523727
107	102267	595688
108	105167	532155
109	117434	494262
110	109230	543603
111	105641	507336
112	100493	506009
113	105856	568544
114	104553	548928
115	100129	519462
116	102129	537503
117	106311	521030
118	101048	490232
119	103422	527454
120	95513	492767
121	102065	501768
122	102815	509140
123	104110	463526
124	106767	532321
125	101257	499611
126	98485	501123
127	106257	560873
128	113862	513059
129	109737	503170
130	100229	482369
131	100206	493376
132	107863	524966
133	105244	504898
134	104110	524060
135	107658	551027
136	109655	482694
137	103578	544236
138	101862	500574
139	98927	496614
140	109403	521048
141	104163	554241
142	99181	513275
143	102708	552416
144	104425	566544
145	101660	513496
146	101107	514090
147	108906	591899
148	99757	505625
149	115264	534883
150	112092	552517
151	105476	548287
152	97321	524803
153	103626	561652
154	101484	462632
155	97984	551234
156	102813	479810
157	108511	523837
158	109021	546816
159	106410	546252
160	104531	498172
161	108369	556884
162	107482	562336
163	101626	482797
164	101155	518489
165	103590	491594
166	99104	539569
167	99407	508640
168	105494	528884
169	109090	539606
170	107399	494836
171	110978	564076
172	100440	547974
173	97353	533624
174	98589	518544
175	96249	581414
176	102547	558116
177	102048	536124
178	96792	503859
179	103206	504146
180	106999	574047
181	98405	485426
182	99048	558832
183	103656	529454
184	104027	519662
185	102273	454498
186	104686	541113
187	112783	514507
188	100667	504020
189	111293	498646
190	107775	501529
191	101881	512714
192	110658	512991
193	106290	559504
194	105794	542210
195	101888	506606
196	106707	497512
197	105159	499241
198	104385	522893
199	105413	570052
200	106186	492393
201	103918	527380
202	102587	518990
203	101387	513560
204	105936	525664
205	98326	502069
